Region,Emotion
Marseille,0.6666666666666666
Paris,0.44791666666666663
Colombes,1.0
Alsace,0.6666666666666666
Paris 7,1.0
Cracovie,0.6
Strasbourg,1.0
Lyon,1.0
Château-Thierry,0.5
Vauvert,0.8333333333333334
Rouen,1.0
Ile-de-France,1.0
Saint-Herblain,0.75
Montcuq,0.6
Rennes,0.3333333333333333
Nantes,0.5
